dt,price_gbp,crypto
2020-05-21 00:00:00.000,2.4182227088077224e-05,ecomi
2020-05-22 00:00:00.000,2.3393145553106752e-05,ecomi
2020-05-23 00:00:00.000,3.248228799266842e-05,ecomi
2020-05-24 00:00:00.000,3.150174567122458e-05,ecomi
2020-05-25 00:00:00.000,2.2073681255594638e-05,ecomi
2020-05-26 00:00:00.000,2.7581878623915373e-05,ecomi
2020-05-27 00:00:00.000,2.179294065168897e-05,ecomi
2020-05-28 00:00:00.000,2.2755013226894757e-05,ecomi
2020-05-29 00:00:00.000,2.472317184116446e-05,ecomi
2020-05-30 00:00:00.000,2.1886585874660784e-05,ecomi
2020-05-31 00:00:00.000,2.1917307193680795e-05,ecomi
2020-06-01 00:00:00.000,2.267059941318238e-05,ecomi
2020-06-02 00:00:00.000,2.4959583125272687e-05,ecomi
2020-06-03 00:00:00.000,2.8898537223245006e-05,ecomi
2020-06-04 00:00:00.000,3.8625311996969076e-05,ecomi
2020-06-05 00:00:00.000,3.2143190456510094e-05,ecomi
2020-06-06 00:00:00.000,2.5246838137503606e-05,ecomi
2020-06-07 00:00:00.000,2.2527508387750866e-05,ecomi
2020-06-08 00:00:00.000,2.714093500846332e-05,ecomi
2020-06-09 00:00:00.000,2.454254170384952e-05,ecomi
2020-06-10 00:00:00.000,2.2523955738588762e-05,ecomi
2020-06-11 00:00:00.000,2.7640874149578338e-05,ecomi
2020-06-12 00:00:00.000,3.8776701269594406e-05,ecomi
2020-06-13 00:00:00.000,3.629136430477333e-05,ecomi
2020-06-14 00:00:00.000,3.56798801763796e-05,ecomi
2020-06-15 00:00:00.000,3.461504744110483e-05,ecomi
2020-06-16 00:00:00.000,3.128858171496705e-05,ecomi
2020-06-17 00:00:00.000,2.85757174943536e-05,ecomi
2020-06-18 00:00:00.000,3.0531626098042446e-05,ecomi
2020-06-19 00:00:00.000,2.2110755381118384e-05,ecomi
2020-06-20 00:00:00.000,2.4527029212397987e-05,ecomi
2020-06-21 00:00:00.000,2.5898038151013756e-05,ecomi
2020-06-22 00:00:00.000,2.3475777882484827e-05,ecomi
2020-06-23 00:00:00.000,2.182825507667337e-05,ecomi
2020-06-24 00:00:00.000,2.2757407902163055e-05,ecomi
2020-06-25 00:00:00.000,2.651630117199749e-05,ecomi
2020-06-26 00:00:00.000,2.4090244883434458e-05,ecomi
2020-06-27 00:00:00.000,2.7186622859550548e-05,ecomi
2020-06-28 00:00:00.000,2.914857964723551e-05,ecomi
2020-06-29 00:00:00.000,2.9019689892089865e-05,ecomi
2020-06-30 00:00:00.000,2.9526036128885584e-05,ecomi
2020-07-01 00:00:00.000,2.611732184239062e-05,ecomi
2020-07-02 00:00:00.000,2.8323857492268827e-05,ecomi
2020-07-03 00:00:00.000,2.9287467064368517e-05,ecomi
2020-07-04 00:00:00.000,3.696715966061976e-05,ecomi
2020-07-05 00:00:00.000,4.188789751478927e-05,ecomi
2020-07-06 00:00:00.000,4.1870874070095136e-05,ecomi
2020-07-07 00:00:00.000,3.9397539087085494e-05,ecomi
2020-07-08 00:00:00.000,3.803847005748628e-05,ecomi
2020-07-09 00:00:00.000,3.5423308050408095e-05,ecomi
2020-07-10 00:00:00.000,2.7200706751848367e-05,ecomi
2020-07-11 00:00:00.000,2.8946418181868027e-05,ecomi
2020-07-12 00:00:00.000,2.764667610397342e-05,ecomi
2020-07-13 00:00:00.000,3.551873627612358e-05,ecomi
2020-07-14 00:00:00.000,3.0485605944008386e-05,ecomi
2020-07-15 00:00:00.000,3.1079419461873125e-05,ecomi
2020-07-16 00:00:00.000,3.1033738403573006e-05,ecomi
2020-07-17 00:00:00.000,2.8392958558029533e-05,ecomi
2020-07-18 00:00:00.000,3.7434044550724486e-05,ecomi
2020-07-19 00:00:00.000,3.4459512527260585e-05,ecomi
2020-07-20 00:00:00.000,3.358976912726669e-05,ecomi
2020-07-21 00:00:00.000,3.570453055162481e-05,ecomi
2020-07-22 00:00:00.000,3.147221901168838e-05,ecomi
2020-07-23 00:00:00.000,3.237722522595913e-05,ecomi
2020-07-24 00:00:00.000,3.1805915182861485e-05,ecomi
2020-07-25 00:00:00.000,3.9889903938454515e-05,ecomi
2020-07-26 00:00:00.000,3.9791139057641865e-05,ecomi
2020-07-27 00:00:00.000,3.708049407167076e-05,ecomi
2020-07-28 00:00:00.000,3.4193024216985414e-05,ecomi
2020-07-29 00:00:00.000,3.4788382217181224e-05,ecomi
